”N,1ŒŽ,2ŒŽ,3ŒŽ,4ŒŽ,5ŒŽ,6ŒŽ,7ŒŽ,8ŒŽ,9ŒŽ,10ŒŽ,11ŒŽ,12ŒŽ,”NŠÔ
1951,,,,,1,1,2,1,1,1,,,6
1952,,,,,,1,2,1,,,3,,7
1953,,,,,,1,1,2,1,1,,,6
1954,,,,,,,1,2,3,,,,6
1955,,,,1,,,2,2,1,1,,,7
1956,,,,1,,,1,3,4,,,,8
1957,,,,,,1,,2,2,,1,,6
1958,,,,,,1,3,2,2,,1,,9
1959,,,,,,,1,2,2,2,2,,9
1960,,,,,,1,2,5,,,,,7
1961,,,,,1,1,1,1,3,1,,,8
1962,,,,,1,,3,4,1,,1,,9
1963,,,,,,2,2,2,2,1,,,9
1964,,,,,,,3,2,1,,,,6
1965,,,,,1,3,1,2,3,,1,,11
1966,,,,,2,1,1,4,5,,,,12
1967,,,,1,,,2,1,1,2,1,,7
1968,,,,,,,1,2,2,1,,,6
1969,,,,,,,,2,1,1,2,,6
1970,,,,,,,1,2,2,,,,5
1971,,,,1,1,,2,3,2,1,1,,11
1972,,,,,,,1,2,1,,,,4
1973,,,,,,,2,1,,,,,3
1974,,,,,,1,3,2,2,,,,8
1975,,,,,,,1,3,1,2,1,,7
1976,,,,,1,1,3,2,1,,2,,9
1977,,,,,,,1,2,1,,,,3
1978,,,,,,2,2,3,1,1,1,,10
1979,,,,,1,,,2,2,1,,,6
1980,,,,,,,,1,1,1,1,,4
1981,,,,,,2,2,1,1,2,1,,8
1982,,,,,,,2,3,2,,,,7
1983,,,,,,,,2,1,1,,,4
1984,,,,,,1,1,2,,,,1,5
1985,,,,,1,1,1,5,,2,,,10
1986,,,,,1,1,2,3,1,,1,,9
1987,,,,,,1,5,1,,1,,,7
1988,,,,,,2,,1,1,2,,,6
1989,,,,,,1,2,2,3,,,,7
1990,,,,,1,1,1,3,3,1,1,,11
1991,,,,,1,,1,2,4,2,,,10
1992,,,,,,1,,3,2,,1,,7
1993,,,,,,,2,1,2,1,,,6
1994,,,,,,,2,4,2,1,1,,9
1995,,,,,,,1,1,1,,,,3
1996,,,,,1,,2,2,2,1,1,,7
1997,,,,,1,2,1,3,1,1,,,9
1998,,,,,,,,2,2,1,,,5
1999,,,,,,,2,3,1,,1,,6
2000,,,,,1,,2,3,2,1,1,,10
2001,,,,,1,,1,1,2,1,,,6
2002,,,,,,1,5,1,1,,,,8
2003,,,,1,1,2,,2,2,,1,,9
2004,,,,,1,2,1,4,3,3,,1,15
2005,,,,,,1,1,2,3,2,,,8
2006,,,,,,,3,2,1,,,,6
2007,,,,,,,1,3,2,2,,,8
2008,,,,,2,,2,,2,,,,6
2009,,,,,,,,1,,2,,,3
2010,,,,,,,,3,3,1,,,6
2011,,,,,2,1,1,1,2,,,,7
2012,,,,,,3,2,4,2,1,,,11
2013,,,,,,1,1,2,1,4,,,9
2014,,,,,,2,3,2,2,2,,,10
2015,,,,,1,,2,2,1,,,,6
2016,,,,,,,1,1,4,1,,,7
2017,,,,,,,3,1,1,2,,,7
2018,,,,,,2,3,4,2,1,1,,13
2019,,,,,,,1,1,3,2,1,,7
2020,,,,,,,,4,2,1,,,6
2021,,,,1,,1,1,3,1,,,,7
2022,,,,,,,2,2,4,,,,6
